time,numwrites,size
0.008,200,1000
2.821,200200,1000
5.629,400200,1000
8.479,600200,1000
11.324,800200,1000
14.063,1000200,1000
16.999,1200200,1000
19.782,1400200,1000
21.346,1600200,1000
25.453,1800200,1000
28.374,2000200,1000
31.378,2200200,1000
33.849,2400200,1000
34.874,2600200,1000
37.127,2800200,1000
40.086,3000200,1000
43.758,3200200,1000
44.788,3400200,1000
48.877,3600200,1000
50.399,3800200,1000
54.646,4000200,1000
59.021,4200200,1000
59.989,4400200,1000
61.529,4600200,1000
63.971,4800200,1000
66.378,5000200,1000
69.97,5200200,1000
72.717,5400200,1000
78.111,5600200,1000
77.136,5800200,1000
81.257,6000200,1000
82.519,6200200,1000
86.364,6400200,1000
87.129,6600200,1000
90.755,6800200,1000
94.368,7000200,1000
95.841,7200200,1000
97.23,7400200,1000
100.186,7600200,1000
102.95,7800200,1000
106.086,8000200,1000
108.981,8200200,1000
112.785,8400200,1000
115.413,8600200,1000
114.856,8800200,1000
120.435,9000200,1000
121.623,9200200,1000
122.346,9400200,1000
129.189,9600200,1000
130.433,9800200,1000
137.788,10000000,1000
163.158,12000000,1000
182.552,14000000,1000
211.995,16000000,1000
239.883,18000000,1000
264.46,20000000,1000
289.545,22000000,1000
317.076,24000000,1000
341.929,26000000,1000
368.903,28000000,1000
398.186,30000000,1000
420.888,32000000,1000
449.4,34000000,1000
472.611,36000000,1000
511.023,38000000,1000
531.698,40000000,1000
550.753,42000000,1000
578.169,44000000,1000
20.998,46000000,1000
30.367,48000000,1000
65.559,50000000,1000
91.974,52000000,1000
115.026,54000000,1000
136.613,56000000,1000
168.315,58000000,1000
194.484,60000000,1000
214.45,62000000,1000
237.733,64000000,1000
274.32,66000000,1000
287.638,68000000,1000
321.838,70000000,1000
345.114,72000000,1000
377.128,74000000,1000
444.876,76000000,1000
560.119,78000000,1000
89.558,80000000,1000
189.874,82000000,1000
283.757,84000000,1000
399.769,86000000,1000
475.207,88000000,1000
584.742,90000000,1000
29.814,92000000,1000
166.409,94000000,1000
204.657,96000000,1000
400.193,98000000,1000
